代码、职业_名称、就业、就业_增长、退休、其他_替代、总_工作_空缺、学校_离校者、移民、其他_求职者、求职者、最近_劳动力_市场_条件、未来_劳动力_市场_条件
N0000,所有职业,18081600,1637200,3895400,817100,6349700,4870200,1432600,15400,6318100,N/A,N/A
N0010,立法者和高级管理人员,51000,-1300,22100,3100,24000,1300,9700,12300,23400,BALANCE,Balance
N0111,财务经理,58200,4900,20200,2800,27800,3000,4800,18600,26500,BALANCE,Balance
N0112,人力资源经理,28900,3800,10500,1400,15600,1100,2700,10900,14700,BALANCE,Balance
N0113,“采购经理和高级经理-健康、教育、社会和社区服务及会员组织”,20700,1200,7700,1000,9900,1800,2600,5700,10200,BALANCE,Balance
N0121,“保险、房地产和金融经纪经理”,27100,3500,8100,1400,13000,600,2600,10500,13700,BALANCE,Balance
N0122,"银行、信贷等投资经理",48300,2100,12600,2000,16700,4800,5900,6000,16600,BALANCE,Balance
N0124,"广告、营销和公共关系经理及其他业务服务经理",48900,2300,13900,2400,18600,2000,6800,9900,18600,BALANCE,Balance
N0130,通信管理人员(广播除外),12900,200,1300,500,2000,300,1300,700,2200,SURPLUS,剩余
N0211,工程经理 & 建筑和科学经理,30900,4400,8500,1500,14300,3000,2300,8200,13500,BALANCE,Balance
N0213,计算机和信息系统管理人员,69100,17200,12000,3300,32500,3000,4900,24800,32700,BALANCE,Balance
N0311,保健管理人员,28700,2300,11400,1500,15100,200,1300,12600,14100,BALANCE,Balance
N0410,公共行政管理人员,38700,2700,13000,1800,17600,1600,700,14400,16700,BALANCE,Balance
N0421,管理员 - 专上教育和职业培训,13300,500,5600,800,6900,0,1100,5800,6900,BALANCE,Balance
N0422,小学和中学教育的校长和管理人员,24500,1200,10600,1200,13000,3900,700,7900,12500,BALANCE,Balance
N0423,"社会、社区和惩教服务管理人员",41500,7300,15400,2400,25100,3300,1200,20400,24900,BALANCE,Balance
N0430,公共保护服务管理人员,4000,100,2100,200,2400,100,700,1500,2200,BALANCE,Balance
N0510,"艺术、文化、娱乐和体育管理人员",13300,800,4500,700,5900,600,1700,3300,5600,BALANCE,Balance
N0601,企业销售经理,25500,200,5600,1100,6800,1900,4800,-400,6400,BALANCE,Balance
N0621,零售和批发贸易经理,318100,-11000,96600,16300,101900,6800,24300,68100,99200,BALANCE,Balance
N0631,餐厅和食品服务经理,118100,7000,20200,5600,32900,1300,13100,18300,32700,BALANCE,Balance
N0632,住宿服务经理,61200,7900,24300,5200,37500,0,1900,35300,37200,BALANCE,Balance
N0651,"客户和个人服务经理, nec",18200,1300,6400,1000,8600,500,2100,6100,8700,BALANCE,Balance
N0711,施工经理,70200,7800,17200,3200,28100,500,5000,21100,26700,BALANCE,Balance
N0712,房屋建筑和装修经理,134100,15700,40200,6700,62700,300,2900,56900,60100,BALANCE,Balance
N0714,设施运维经理,26900,800,9600,1400,11800,1700,2200,7900,11900,SURPLUS,Surplus
N0731,运输经理,21500,2300,7500,1200,11100,400,1800,8400,10600,BALANCE,Balance
N0811,自然资源生产和渔业管理人员,14100,1800,3500,700,6000,200,600,5200,5900,BALANCE,Balance
N0820,"农业、园艺和水产养殖经理",166200,-13700,48300,13400,48000,600,3500,43500,47500,BALANCE,Balance
N0910,制造和公用事业经理,80500,3300,23200,4100,30600,1300,5200,22600,29100,BALANCE,Balance
N1111,财务审计师和会计师,220200,29100,54300,11000,94400,81700,18400,-6000,94100,BALANCE,Balance
N1112,金融和投资分析师,63800,15100,9700,2500,27400,33700,5100,-9700,29000,BALANCE,Balance
N1113,"证券经纪人、投资商和经纪人",21300,2100,4100,1000,7200,7900,1900,-3000,6900,BALANCE,Balance
N1114,其他财务人员,134100,21700,29900,6300,57900,37400,6600,14100,58000,BALANCE,Balance
N1121,人力资源专业人员,99900,22700,18300,4500,45400,32400,3000,11200,46600,BALANCE,Balance
N1122,企业管理咨询专业职业,93700,7900,26800,5200,39900,26600,7500,6400,40600,BALANCE,Balance
N1123,“广告、营销和公共关系专业”,105900,15300,17100,3800,36200,52400,6300,-22100,36600,BALANCE,Balance
N1211，“主管、一般办公室和行政支持人员”，20000,1500,6800,900,9200,3100,400,5300,8700,SURPLUS,Surplus
N1212,“主管、金融保险从业人员”,62800,9100,17300,2900,29400,13000,800,16100,29900,BALANCE,Balance
N1213，“主管，图书馆，通信和相关信息工作者；主管，邮件和消息分发职业&主管，供应链，跟踪和调度协调职业”，102000,13300,28700,4300,46300,15200,3700,26000 ,44900,平衡,平衡
N1221,行政人员,228900,32300,74800,11000,118100,52800,14000,54100,120800,BALANCE,Balance
N1222,行政助理,34000,4400,12700,1700,18700,9100,2500,6200,17900,BALANCE,Balance
N1223,人力资源和招聘人员,37000,5800,5800,1300,12900,17600,2600,-6700,13500,BALANCE,Balance
N1224,物业管理员,33200,1600,12500,1700,15800,6500,3000,6100,15600,BALANCE,Balance
N1225,采购代理和人员,52600,6800,15500,2300,24600,14000,3300,6900,24200,BALANCE,Balance
N1226,会议和活动策划者,25800,4700,3900,1100,9600,11100,1400,-1800,10700,BALANCE,盈余
N1227,“法院官员和治安法官与就业保险、移民、边境服务和税收官员”,48900,7100,11700,2300,21100,9800,1000,10300,21200,BALANCE,Balance
N1241,行政助理,204000,-34600,46200,9600,21200,22600,17200,-22000,17900,BALANCE,Balance
N1242,法律行政助理,44000,2900,9800,2100,14900,11500,1800,900,14200,BALANCE,Balance
N1243,医疗行政助理,48500,4900,11600,2500,19000,8900,500,8400,17700,BALANCE,Balance
N1250,"法庭记者、抄录员、记录管理技术员和统计人员",19300,-700,5600,1000,5900,7500,1700,-3700,5500,BALANCE,Balance
N1311,会计技术员和簿记员,163700,16700,56100,10000,82700,21600,7400,51300,80300,BALANCE,Balance
N1312，"保险理算师和理赔员；保险承保人；评估师、估价师和估价师以及海关、船舶和其他经纪人",63100,3600,12400,2600,18600,18200,3100,-3100,18200,BALANCE,Balance
N1411,普通办公室支持人员,152300,-23400,56100,6000,38700,60100,15000,-40500,34600,BALANCE,Balance
N1414,接待员,160300,10900,42300,6900,60000,57600,9300,-8400,58500,BALANCE,Balance
N1415,人事和法院文员,13000,1100,2400,500,4000,4100,1100,-1300,3900,BALANCE,Balance
N1422,数据录入员&桌面出版操作员及相关职业,37500,-6300,10200,1400,5300,13500,4000,-12100,5300,SURPLUS,Surplus
N1431,会计及相关文员,145500,-9300,45900,6000,42700,34000,11500,-4500,40900,BALANCE,Balance
N1432,工资员,39800,4000,12100,1600,17700,9800,2000,6100,17900,BALANCE,Balance
N1434,"银行、保险等金融文员&收款员",46300,-11200,9700,1500,-100,17100,4700,-20900,800,BALANCE,Balance
N1450,"图书馆、函授等文员",51500,-3000,16000,2200,15300,18900,4300,-9600,13500,SURPLUS,Surplus
N1511,"邮件、邮政及相关工作人员",30800,-100,12500,1700,14000,3800,2500,7700,13900,BALANCE,Balance
N1512,信运营商,30200,1100,10000,1200,12400,2400,700,8700,11900,BALANCE,Balance
N1513,“快递、信使和送货上门”,23000,-2300,11300,1200,10200,3900,2300,3600,9800,BALANCE,Balance
N1521,发货人和收货人,113700,-2100,26300,4900,29100,23900,14700,-12700,25900,BALANCE,Balance
N1522，店主和配员；生产物流协调员 & 采购和库存控制工人,68600,4000,17100,3000,24100,18000,7400,-2900,22400,BALANCE,Balance
N1525,Dispatchers & Transportation route and crowd schedulers,42600,4400,6900,1700,13000,11100,1600,800,13500,BALANCE,Balance
N2110,物理科学专业人士,34900,5200,8600,1800,15700,16600,5600,-7700,14600,BALANCE,Balance
N2120,生命科学专业人士,23700,3100,4600,1100,8700,13400,3300,-8000,8600,BALANCE,Balance
N2131,土木工程师,53900,7700,9000,2400,19100,28500,8400,-16400,20500,BALANCE,Balance
N2132,机械工程师,37300,2700,7200,1600,11500,18300,6100,-12500,11800,BALANCE,Balance
N2133,电气电子工程师,34000,2900,6800,1400,11100,16200,7200,-12000,11400,BALANCE,Balance
N2134,化学工程师,10600,1000,1800,600,3400,4900,1900,-2900,3900,BALANCE,剩余
N2141,工业和制造工程师 & 冶金和材料工程师,17800,1700,2800,700,5200,7200,3100,-5100,5200,BALANCE,Balance
N2143，采矿工程师；地质工程师和石油工程师,20900,2700,4000,900,7500,12200,2700,-7200,7700,SURPLUS,Surplus
N2146,"航空航天工程师和其他专业工程师, nec",36900,5400,9700,1900,17000,14000,1700,-2600,13100,BALANCE,短缺
N2147,计算机工程师（软件工程师和设计师除外）,24600,4500,4300,1300,10100,8400,5600,-3300,10700,BALANCE,Balance
N2151,建筑师,17900,2200,4600,900,7800,10600,2300,-5400,7400,BALANCE,Balance
N2152，景观设计师；城市和土地利用规划师和土地测量师,16600,1600,4300,700,6600,8600,1400,-3400,6700,BALANCE,Balance
N2161,"数学家、统计学家和精算师",10100,1400,1400,500,3200,6000,1500,-4300,3100,SHORTAGE,短缺
N2171,信息系统分析师和顾问,196300,45200,46100,8800,100100,52200,22100,23200,97600,短缺,短缺
N2172,数据库分析师和数据管理员,35500,9600,6400,1600,17500,11900,2400,2300,16600,SHORTAGE,短缺
N2173,软件工程师和设计师,51800,10700,7900,2100,20700,24400,8600,-11200,21700,SHORTAGE,短缺
N2174,计算机程序员和交互媒体开发人员,151900,24400,22300,5600,52300,68900,17800,-33000,53800,SHORTAGE,短缺
